"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.acinar","log2fold_change","Auc"
"3126","REG1A","hurdle",2.79141933007382e-164,7.199159,17.368629,10.16947,1
"908","CTRB2","hurdle",3.05940124386078e-148,4.819672,14.23428,9.414608,1
"2940","PRSS1","hurdle",3.85107893166716e-131,5.332246,15.10136,9.769114,0.999
"3661","SPINK1","hurdle",2.8699706557992e-124,8.484304,14.947034,6.46273,0.995
"3128","REG3A","hurdle",1.15784107961398e-134,6.531098,16.55927,10.028172,0.991
"907","CTRB1","hurdle",1.20983192085204e-119,3.756241,13.083251,9.32701,0.988
"1840","IL32","hurdle",4.35676073815258e-96,6.172254,11.827536,5.655282,0.987
"848","CPA2","hurdle",2.15137251827278e-110,3.154718,12.247513,9.092795,0.983
"2795","PLA2G1B","hurdle",8.58030718279175e-106,3.552488,11.952343,8.399855,0.976
"3127","REG1B","hurdle",2.78347933073211e-114,5.310276,15.320705,10.010429,0.971
"909","CTRC","hurdle",1.16186873388392e-109,2.058316,11.290715,9.232399,0.968
"2371","MUC1","hurdle",8.51225971830378e-83,5.828277,11.078887,5.25061,0.965
"847","CPA1","hurdle",1.71162894686383e-100,3.429812,12.524746,9.094934,0.965
"2829","PNLIP","hurdle",1.89440488446078e-96,3.183188,12.834345,9.651157,0.964
"2043","LGALS2","hurdle",9.65211957479936e-101,2.410545,11.333216,8.922671,0.957
"2244","MGST1","hurdle",1.45770059956089e-76,6.000287,10.473424,4.473137,0.956
"1625","GSTA1","hurdle",1.53444344683382e-88,4.255639,11.150321,6.894682,0.951
"852","CPB1","hurdle",8.78892187075882e-78,6.815599,12.189068,5.373469,0.949
"450","C15orf48","hurdle",1.86616025958066e-95,6.707327,11.559795,4.852468,0.949
"2031","LCN2","hurdle",2.31577886594293e-63,9.851647,13.767884,3.916237,0.945
"1100","DUOXA2","hurdle",7.88045946546341e-86,3.870528,11.886641,8.016113,0.942
