"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.alpha","log2fold_change","Auc"
"755","GCG","hurdle",3.60389442178254e-156,9.095277,17.272576,8.177299,0.999
"2013","TTR","hurdle",1.18988717903249e-70,11.95435,16.29805,4.3437,0.976
"474","CRYBA2","hurdle",7.42327090416556e-63,6.737967,11.215801,4.477834,0.929
"1080","LOXL4","hurdle",2.82597482524648e-58,4.288546,10.648111,6.359565,0.879
"1936","TMEM176B","hurdle",2.06739906511727e-36,8.288575,10.697808,2.409233,0.878
"1935","TMEM176A","hurdle",4.67881309522501e-35,7.599096,10.006814,2.407718,0.869
"753","GC","hurdle",3.9215891378123e-37,8.131039,10.743648,2.612609,0.861
"1368","PCSK2","hurdle",1.96578429309593e-32,8.657768,11.220798,2.56303,0.854
"1920","TM4SF4","hurdle",5.0140789285483e-34,9.313531,12.108221,2.79469,0.852
"2061","VGF","hurdle",7.86514928259998e-35,6.790095,9.49928,2.709185,0.842
"616","F10","hurdle",1.06900920764145e-38,5.327602,8.414003,3.086401,0.837
"397","CHGA","hurdle",2.06349641074035e-25,9.929071,12.030232,2.101161,0.829
"817","GPX3","hurdle",2.18137466433251e-27,8.475405,11.152386,2.676981,0.817
"1588","RGS4","hurdle",1.3139877064583e-27,6.66377,9.33362,2.66985,0.807
"1388","PEMT","hurdle",8.92046836181562e-29,6.863515,10.079638,3.216123,0.794
"450","COTL1","hurdle",2.15291640676744e-26,6.254365,8.732795,2.47843,0.792
"1650","SCG5","hurdle",4.59251815233632e-22,10.90254,12.16566,1.26312,0.791
"398","CHGB","hurdle",3.81844682290132e-24,11.80261,13.91119,2.10858,0.79
"1467","PPP1R1A","hurdle",2.56730834771143e-23,6.699626,8.70657,2.006944,0.789
"424","CLU","hurdle",7.08816776220968e-20,11.00676,12.4883,1.48154,0.787
"949","IRX2","hurdle",2.60991621589663e-38,2.929974,7.592902,4.662928,0.775
"1673","SERPINE2","hurdle",4.24835134634484e-17,6.680982,8.321444,1.640462,0.741
"64","ALDH1A1","hurdle",4.24372693665582e-15,9.738973,11.474796,1.735823,0.741
"1719","SLC22A17","hurdle",7.29842027971855e-16,7.150023,9.059003,1.90898,0.733
"1648","SCG2","hurdle",2.17663846882048e-14,10.46115,11.42538,0.964230000000001,0.733
"917","IGFBP2","hurdle",2.42000617722931e-17,7.062168,8.065001,1.002833,0.733
"216","C10orf10","hurdle",4.53971543488013e-15,7.848307,10.232056,2.383749,0.732
"1113","MAFB","hurdle",8.86101068586124e-16,7.390008,9.522551,2.132543,0.728
"1525","PTPRN","hurdle",1.50912494187147e-14,9.539717,10.54098,1.001263,0.724
"980","KCNJ6","hurdle",1.19456314098163e-16,5.203686,7.414786,2.2111,0.721
"1330","PALLD","hurdle",7.87926172941811e-13,6.689252,8.266907,1.577655,0.718
"457","CPE","hurdle",1.12952172019299e-12,10.66916,11.55003,0.88087,0.718
"775","GLS","hurdle",5.26566681966404e-20,6.242046,9.018241,2.776195,0.716
"2015","TUBA1B","hurdle",7.17537964069678e-09,9.119588,10.007425,0.887836999999999,0.712
"1865","SYNGR4","hurdle",5.56819286963403e-21,3.616837,6.433875,2.817038,0.71
"1735","SLC29A4","hurdle",4.36396272252813e-13,5.77345,7.751429,1.977979,0.709
"1538","QPCT","hurdle",4.61786969703164e-12,8.673873,9.585533,0.911659999999999,0.709
"580","EMC10","hurdle",1.89861789347547e-09,7.924239,8.929245,1.005006,0.707
"1826","SSTR2","hurdle",3.64939649737947e-13,6.072416,7.777631,1.705215,0.706
"1739","SLC30A8","hurdle",7.18789881736219e-12,8.307418,9.753134,1.445716,0.705
"1236","NAA20","hurdle",3.43889649794831e-17,7.741955,9.607125,1.86517,0.705
"1818","SPTSSB","hurdle",6.11694438905733e-15,5.098113,7.537775,2.439662,0.702
"674","FAP","hurdle",6.59400714058048e-15,7.16594,8.18741,1.02147,0.701
"1749","SLC38A4","hurdle",8.39379923825765e-27,3.567169,7.880748,4.313579,0.7
"709","FKBP2","hurdle",1.26080774942453e-11,8.838144,9.700834,0.862690000000001,0.7
"1812","SPOCK3","hurdle",1.07036813123259e-24,2.541415,6.447217,3.905802,0.699
"1334","PAPPA2","hurdle",4.65736731905964e-18,4.229607,7.146805,2.917198,0.698
"669","FAM84A","hurdle",1.31070441082066e-21,3.025546,6.992328,3.966782,0.698
"1763","SLC7A2","hurdle",6.79263657456648e-17,6.910453,9.220367,2.309914,0.696
"1476","PPP2R2B","hurdle",2.20727351222639e-19,3.173585,6.357094,3.183509,0.696
"1117","MALAT1","hurdle",3.55879409999182e-08,15.31139,16.02942,0.718029999999999,0.696
"695","FEV","hurdle",5.36084655408719e-14,5.143473,7.258887,2.115414,0.695
"551","DPP4","hurdle",6.66640567239029e-29,1.786551,7.372037,5.585486,0.694
"739","FXYD6","hurdle",8.59041116012838e-11,6.982576,8.61417,1.631594,0.693
"1086","LRPAP1","hurdle",4.85045123066595e-10,8.394568,9.562097,1.167529,0.69
"790","GNG4","hurdle",1.17703159642803e-11,6.097413,7.612614,1.515201,0.689
"1427","PLCE1","hurdle",3.36689004100731e-24,3.232697,8.636367,5.40367,0.688
"1374","PDE3B","hurdle",5.63631663519874e-15,4.160707,7.041916,2.881209,0.688
"1032","KLHL41","hurdle",6.80234093459874e-23,3.532431,7.626461,4.09403,0.688
"871","HLA-A","hurdle",2.47026982365633e-08,10.50561,11.1944,0.688789999999999,0.685
"1809","SPINT2","hurdle",1.16974692534359e-09,9.592759,11.034333,1.441574,0.684
"1367","PCSK1N","hurdle",3.16068911426932e-11,11.01161,11.51569,0.50408,0.684
"737","FXYD3","hurdle",5.74575064586943e-11,6.810727,8.444573,1.633846,0.684
"226","C12orf75","hurdle",1.79686083939057e-08,7.541271,8.660531,1.11926,0.684
"1294","NPDC1","hurdle",1.01369604276387e-08,8.248848,9.140221,0.891373,0.683
"738","FXYD5","hurdle",5.9457295457484e-11,6.673377,8.68895,2.015573,0.682
"620","FABP5","hurdle",1.32603424692384e-10,6.246839,7.565325,1.318486,0.68
"1765","SLC7A8","hurdle",4.01841754295482e-13,6.973884,9.037865,2.063981,0.678
"1649","SCG3","hurdle",3.76461152156846e-11,9.105881,9.748518,0.642637000000001,0.678
"460","CPLX2","hurdle",1.00869330234072e-11,5.401294,7.274818,1.873524,0.678
"1344","PCDH17","hurdle",2.97044890693551e-09,6.167274,7.578754,1.41148,0.673
"987","KCNMA1","hurdle",1.2405694925502e-09,5.746069,7.505425,1.759356,0.673
"434","CNTN1","hurdle",1.41250509691909e-10,6.230704,8.048645,1.817941,0.673
"823","GRIA3","hurdle",5.60386169015039e-11,5.225265,6.93158,1.706315,0.67
"1452","POPDC3","hurdle",3.25352682886858e-19,2.376954,5.921879,3.544925,0.669
