"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.beta","log2fold_change","Auc"
"463","INS","hurdle",1.34561981783156e-181,6.922712,18.016716,11.094004,1
"447","IAPP","hurdle",8.15103220461674e-112,6.353892,13.777358,7.423466,0.99
"587","MEG3","hurdle",3.20002581671944e-49,6.817829,9.801602,2.983773,0.907
"647","NPTX2","hurdle",3.49638855361276e-53,5.300271,9.764687,4.464416,0.889
"837","SAMD11","hurdle",5.8632088116245e-43,4.608854,8.539461,3.930607,0.838
"888","SLC30A8","hurdle",3.21630863311046e-28,8.186942,9.987595,1.800653,0.831
"264","DLK1","hurdle",1.61213572446212e-53,3.01141,10.25055,7.23914,0.823
"19","ADCYAP1","hurdle",7.48844308750518e-43,3.326608,7.355092,4.028484,0.811
"842","SCG3","hurdle",1.12659856017533e-26,8.889772,10.366433,1.476661,0.808
"787","RBP4","hurdle",6.02197460286898e-25,11.49398,12.46527,0.97129,0.8
"1024","TSPAN1","hurdle",1.27849139942278e-29,5.933772,8.662071,2.728299,0.792
"135","CADM1","hurdle",5.42873577761054e-21,6.836672,9.007957,2.171285,0.772
"418","HADH","hurdle",1.36882664891796e-19,7.414731,9.220294,1.805563,0.766
"693","PCSK1N","hurdle",9.75230692934214e-20,10.92223,11.84242,0.92019,0.764
"360","G6PC2","hurdle",6.67938982740576e-20,7.271279,9.397357,2.126078,0.757
"692","PCSK1","hurdle",9.00375166352476e-20,8.19125,9.18823,0.996980000000001,0.756
"2","ABCC8","hurdle",7.340467852916e-19,8.568598,9.750663,1.182065,0.755
"364","GAD2","hurdle",6.27257087090264e-17,7.570861,9.298413,1.727552,0.752
"170","CD99","hurdle",2.98107675556977e-15,8.69274,10.14958,1.45684,0.746
"677","PARVB","hurdle",1.68666399726542e-18,5.770431,7.772151,2.00172,0.741
"843","SCG5","hurdle",3.33166770880377e-17,11.03651,11.76352,0.72701,0.739
"845","SCGN","hurdle",2.26853187145956e-14,9.008923,10.287515,1.278592,0.73
"565","MAFA","hurdle",1.49597895018089e-30,2.243613,6.690443,4.44683,0.726
"316","FAM159B","hurdle",1.15858703056658e-15,6.730944,8.754599,2.023655,0.723
"942","SURF4","hurdle",2.07283927423454e-12,8.242436,9.621363,1.378927,0.718
"194","CHGA","hurdle",3.66927489411449e-15,10.39602,10.92723,0.53121,0.717
"254","DHRS2","hurdle",1.90448014036602e-15,6.458172,8.400637,1.942465,0.716
"698","PEBP1","hurdle",2.91334821786265e-15,9.202457,10.293427,1.09097,0.711
"820","ROBO2","hurdle",1.71914238884531e-22,3.452447,6.821631,3.369184,0.71
"296","ENTPD3","hurdle",4.4486417551625e-21,4.15057,7.367474,3.216904,0.699
"224","CPE","hurdle",3.39598644789495e-15,10.74073,11.28866,0.547930000000001,0.697
"1043","UCHL1","hurdle",4.03950540366391e-10,8.421167,9.307324,0.886156999999999,0.696
"916","SORL1","hurdle",4.35514362866683e-13,7.052715,7.957468,0.904753,0.696
"310","FAM105A","hurdle",1.01896755949081e-15,4.799227,7.144907,2.34568,0.695
"628","NDUFC2","hurdle",7.19652295369613e-11,7.973601,8.963188,0.989587,0.689
"450","IFI6","hurdle",1.2716608298795e-09,7.381582,8.674346,1.292764,0.688
"566","MAFB","hurdle",6.9729449355402e-10,7.715219,8.909959,1.19474,0.687
"1005","TMEM37","hurdle",2.68895087211868e-11,5.983254,7.643747,1.660493,0.686
"637","NKX6-1","hurdle",6.41627850803433e-18,3.561006,6.590465,3.029459,0.682
"590","MEIS2","hurdle",3.68794052545767e-08,7.69521,8.32567,0.63046,0.678
"1077","ZC3H3","hurdle",2.3979882791462e-16,3.860657,6.557529,2.696872,0.677
"525","LAMP1","hurdle",4.6421729483312e-09,7.602456,8.632258,1.029802,0.677
"117","C1orf127","hurdle",4.07340143227536e-18,3.961323,7.188569,3.227246,0.676
