"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.delta","log2fold_change","Auc"
"1967","SST","hurdle",5.14688346072396e-167,8.451388,18.565069,10.113681,1
"1699","RBP4","hurdle",4.58232009243123e-73,9.932217,14.061569,4.129352,0.963
"1807","SEC11C","hurdle",6.61012047265349e-43,8.904302,11.304408,2.400106,0.906
"1122","LEPR","hurdle",6.54889470043914e-59,2.583458,8.86458,6.281122,0.838
"1482","PCSK1","hurdle",6.19581256839784e-33,7.331854,10.420444,3.08859,0.835
"1481","PCP4","hurdle",3.03290208491552e-33,6.352515,9.552696,3.200181,0.83
"180","BEX1","hurdle",3.0927191771037e-21,8.626462,10.311212,1.68475,0.8
"934","HHEX","hurdle",2.55091191133906e-38,4.165212,8.167861,4.002649,0.799
"929","HEPACAM2","hurdle",1.11371629162609e-25,6.809458,8.860181,2.050723,0.789
"2144","TPPP3","hurdle",6.06823540563421e-26,6.219834,8.789509,2.569675,0.785
"417","CHGB","hurdle",9.59565325517032e-22,12.24955,12.89604,0.64649,0.781
"1540","PKIB","hurdle",1.06921336103903e-23,5.627268,8.116379,2.489111,0.772
"1016","ISL1","hurdle",3.33023133201652e-20,7.220365,9.299046,2.078681,0.766
"619","EDN3","hurdle",4.93535557902256e-28,5.403539,8.541008,3.137469,0.766
"548","DHRS2","hurdle",6.96284983167494e-22,6.355296,8.547863,2.192567,0.764
"770","FFAR4","hurdle",1.04633145785613e-29,3.96757,7.383645,3.416075,0.758
"466","CPE","hurdle",1.46553151128425e-17,10.61386,11.71678,1.10292,0.756
"1188","MAP1B","hurdle",7.06224599624052e-16,8.541562,9.850372,1.30881,0.745
"1261","MIR7-3HG","hurdle",3.25612019770385e-16,6.928357,8.678308,1.749951,0.742
"911","HADH","hurdle",3.59133363901582e-17,7.315123,9.376702,2.061579,0.74
"1721","RGS2","hurdle",1.1318750769785e-25,5.966609,9.892889,3.92628,0.739
"821","GAD2","hurdle",2.79571018316381e-16,7.713582,8.997256,1.283674,0.739
"859","GNAS","hurdle",3.91870157280604e-13,11.47827,12.48787,1.0096,0.736
"1642","PTPRN","hurdle",1.43036238335189e-14,9.484093,10.695907,1.211814,0.735
"284","CADM1","hurdle",3.90934401147918e-15,7.137103,8.475984,1.338881,0.735
"173","BCHE","hurdle",5.22334328783852e-36,1.38889,7.650674,6.261784,0.728
"1795","SCGN","hurdle",1.14692600782747e-13,9.069026,10.127136,1.05811,0.723
"1494","PDLIM4","hurdle",1.75088405499376e-14,6.019527,7.511665,1.492138,0.718
"307","CASR","hurdle",6.07935580152378e-18,5.67702,8.176415,2.499395,0.717
"2020","SYT4","hurdle",5.350314225277e-14,6.016387,7.78532,1.768933,0.716
"1438","PAK3","hurdle",1.61945909733567e-13,6.19414,7.770759,1.576619,0.712
"979","IDS","hurdle",1.37275035200231e-12,8.16821,9.765537,1.597327,0.712
"1483","PCSK1N","hurdle",1.28444940960208e-13,10.97776,11.65072,0.67296,0.711
"2141","TPD52","hurdle",2.50498380416789e-12,8.172557,9.682316,1.509759,0.709
"416","CHGA","hurdle",3.17715278294154e-12,10.30024,11.26828,0.96804,0.708
"314","CBLN4","hurdle",6.79226685061027e-36,-0.8089606,6.288918,7.0978786,0.708
"819","GABRB3","hurdle",2.29611109398757e-17,5.528429,8.383475,2.855046,0.702
"2217","UCHL1","hurdle",1.96976195369851e-10,8.377215,9.441425,1.06421,0.701
"1727","RGS9","hurdle",2.38850176137504e-14,5.338471,7.190983,1.852512,0.7
"1926","SNAP25","hurdle",7.04377913960512e-12,7.049798,8.603021,1.553223,0.699
"2064","TENM3","hurdle",6.33035733966831e-19,4.32256,7.263599,2.941039,0.696
"555","DIRAS3","hurdle",4.51999097395566e-14,5.659275,7.633601,1.974326,0.696
"1449","PARVB","hurdle",6.83868573809175e-11,5.995736,7.350879,1.355143,0.695
"1172","LY6H","hurdle",3.58438415448864e-23,2.795305,6.681777,3.886472,0.695
"1652","QPCT","hurdle",2.89143586330502e-10,8.696979,9.509265,0.812285999999999,0.693
"1144","LRFN5","hurdle",9.51127421712885e-26,1.585219,6.370187,4.784968,0.688
"1897","SLC4A8","hurdle",1.47091657428427e-16,3.672396,6.272186,2.59979,0.685
"1629","PSIP1","hurdle",1.75666496803005e-15,5.357924,7.374872,2.016948,0.685
"913","HAP1","hurdle",8.082674172514e-24,1.876288,6.366291,4.490003,0.682
"1589","PPP1R1A","hurdle",9.83961145407989e-10,6.961967,8.196733,1.234766,0.679
