"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.duct","log2fold_change","Auc"
"1235","MMP7","hurdle",2.71655051111319e-92,6.831991,12.813333,5.981342,0.977
"1076","KRT19","hurdle",7.78039918840182e-78,6.993181,11.545546,4.552365,0.965
"405","CFTR","hurdle",7.1620090080501e-87,4.654273,10.964987,6.310714,0.949
"1081","KRT8","hurdle",3.0909591626784e-63,8.937065,12.013671,3.076606,0.943
"1075","KRT18","hurdle",4.1931055820679e-62,8.451736,11.649274,3.197538,0.94
"107","ANXA2","hurdle",9.91947889296211e-50,8.738571,11.479609,2.741038,0.938
"1883","SPP1","hurdle",8.85317607653126e-79,8.292189,13.835011,5.542822,0.927
"2133","TSPAN8","hurdle",2.73683587352107e-57,6.974101,10.739787,3.765686,0.914
"1737","SERPINA5","hurdle",1.97775437302192e-62,5.916077,10.047668,4.131591,0.914
"1948","TACSTD2","hurdle",6.65736242757019e-54,8.001086,10.691776,2.69069,0.913
"496","CTSH","hurdle",1.40605508553488e-54,6.356559,10.083977,3.727418,0.913
"109","ANXA4","hurdle",2.09830568889133e-44,8.721615,11.526833,2.805218,0.897
"1742","SERPING1","hurdle",1.27454063860231e-45,6.98646,10.25181,3.26535,0.88
"435","CLDN10","hurdle",5.97837430007797e-50,5.697304,9.626928,3.929624,0.878
"362","CD44","hurdle",1.35702418100201e-37,8.6059,11.18724,2.58134,0.877
"1108","LCN2","hurdle",5.84512612149739e-42,11.1934,12.40989,1.21649,0.87
"1507","PMEPA1","hurdle",2.02919587896833e-46,5.702076,9.250355,3.548279,0.869
"1080","KRT7","hurdle",8.54956146598576e-41,7.826755,10.531165,2.70441,0.868
"367","CD74","hurdle",1.14683927209363e-40,8.354184,11.058958,2.704774,0.867
"2014","TM4SF1","hurdle",6.64215755407629e-36,7.969709,9.803,1.833291,0.857
"541","DEFB1","hurdle",1.1119488102223e-54,4.063528,9.668521,5.604993,0.848
"1736","SERPINA1","hurdle",2.44550604500716e-30,10.59954,12.01074,1.4112,0.843
"1380","ONECUT2","hurdle",1.98593408189831e-52,3.530784,8.510278,4.979494,0.833
"1986","TFPI2","hurdle",4.09256362532708e-49,4.014833,9.242806,5.227973,0.827
"131","AQP1","hurdle",1.58508218298706e-54,2.961559,9.899181,6.937622,0.826
"2002","TINAGL1","hurdle",4.94773629838487e-48,3.562286,8.498359,4.936073,0.823
"2092","TPM1","hurdle",3.37320070922502e-25,8.689837,10.671289,1.981452,0.822
"1863","SOX4","hurdle",1.20394399544154e-25,8.39619,10.12567,1.72948,0.822
"88","AMBP","hurdle",1.70611785520768e-33,7.231695,10.200111,2.968416,0.822
"1828","SLC4A4","hurdle",1.91316082408737e-35,5.764727,9.234248,3.469521,0.816
"177","ATP1A1","hurdle",5.24232374855941e-28,8.714655,10.830404,2.115749,0.816
"1378","OLFM4","hurdle",3.35639867029457e-29,11.23226,11.81498,0.58272,0.81
"1840","SLPI","hurdle",1.32130114365073e-40,4.604071,9.314239,4.710168,0.803
"1702","SAT1","hurdle",7.31803156356266e-21,10.41214,11.61221,1.20007,0.803
"749","FLRT2","hurdle",2.15972397233646e-35,5.030569,8.366019,3.33545,0.802
"441","CLDN4","hurdle",7.46154400709882e-23,7.958693,9.457922,1.499229,0.801
"358","CD24","hurdle",2.00311618159083e-22,9.59282,10.99267,1.39985,0.8
"993","ITGB1","hurdle",8.09126559574777e-21,8.955282,10.30592,1.350638,0.799
"602","EDN1","hurdle",1.66312677113273e-34,4.798687,7.744088,2.945401,0.793
"619","ELF3","hurdle",1.42568247741789e-21,7.963199,9.646472,1.683273,0.791
"899","HLA-DRB1","hurdle",9.65397537191222e-33,5.453868,8.646842,3.192974,0.79
"1691","S100A14","hurdle",1.5212784984459e-41,2.762417,7.744592,4.982175,0.788
"349","CCL2","hurdle",4.92543000295007e-28,7.44767,9.951141,2.503471,0.787
"2074","TNFRSF12A","hurdle",8.4613244425779e-20,7.948578,9.488813,1.540235,0.785
"1618","RBP1","hurdle",9.84702345999577e-20,8.772344,10.323992,1.551648,0.784
"1077","KRT23","hurdle",3.24996618195134e-44,3.086842,8.71584,5.628998,0.784
"2077","TNFSF10","hurdle",4.24922299200503e-24,6.464587,8.828368,2.363781,0.779
"1303","NDUFA4","hurdle",1.82961120493377e-27,7.776178,9.608339,1.832161,0.773
"952","IGFBP7","hurdle",2.95331144250898e-15,10.15395,11.01419,0.860239999999999,0.773
"494","CTSD","hurdle",1.06437048860465e-16,9.991297,11.366376,1.375079,0.772
"366","CD59","hurdle",7.4134102840234e-18,10.09829,11.39459,1.2963,0.768
"1694","S100A6","hurdle",2.998925148476e-18,9.441213,11.327044,1.885831,0.767
"403","CFI","hurdle",3.41589388213319e-22,6.357264,8.614294,2.25703,0.767
"1115","LGALS4","hurdle",2.87320772340643e-31,4.659665,8.254949,3.595284,0.765
"78","ALDH1A3","hurdle",2.31590509581335e-36,3.620682,9.285049,5.664367,0.762
"530","DCDC2","hurdle",6.95454459580668e-34,4.108702,7.61626,3.507558,0.759
"108","ANXA3","hurdle",1.74292914317957e-29,4.331354,7.783543,3.452189,0.758
