"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.gamma","log2fold_change","Auc"
"3015","PPY","hurdle",6.49760598681961e-204,5.438662,17.897225,12.458563,1
"3394","SCG2","hurdle",4.35713368837797e-36,9.934392,12.381959,2.447567,0.876
"3772","STMN2","hurdle",4.70197867185671e-39,7.113671,9.787883,2.674212,0.872
"2317","MEIS2","hurdle",1.76925382687041e-38,6.982634,9.653748,2.671114,0.866
"1271","ETV1","hurdle",6.99618502620623e-45,5.51245,9.143475,3.631025,0.86
"2716","PAX6","hurdle",2.76703034628687e-34,7.487339,10.401461,2.914122,0.851
"3952","TM4SF4","hurdle",3.77545548585847e-32,9.822003,11.452201,1.630198,0.847
"2801","PEG10","hurdle",2.48974907807485e-34,7.36007,10.50939,3.14932,0.845
"3398","SCGB2A1","hurdle",2.82452764657645e-32,6.530287,9.222444,2.692157,0.832
"283","ARX","hurdle",9.08431236604038e-41,4.867917,8.310417,3.4425,0.826
"787","CHGB","hurdle",8.85974514351138e-27,12.08677,13.39068,1.30391,0.825
"1792","ID2","hurdle",7.92742433558157e-27,7.320018,9.731147,2.411129,0.808
"133","ALDH1A1","hurdle",9.25525991293044e-21,9.851589,11.246678,1.395089,0.8
"2692","PAM","hurdle",2.24303985604928e-26,8.7976,10.88091,2.08331,0.798
"2532","NEUROD1","hurdle",1.56005663728196e-22,7.654666,9.754914,2.100248,0.79
"878","CPE","hurdle",3.45002247593183e-21,10.57121,11.82964,1.25843,0.787
"3586","SLC6A4","hurdle",3.54176937750821e-36,3.399864,7.744873,4.345009,0.786
"2766","PCSK1N","hurdle",1.30916767370154e-21,10.71559,12.35146,1.63587,0.786
"218","APLP1","hurdle",4.66774415106229e-21,7.433944,9.254605,1.820661,0.786
"3457","SERTM1","hurdle",6.85292136558048e-44,2.409892,7.599159,5.189267,0.785
"1238","ENTPD2","hurdle",2.72148562801422e-35,2.817862,7.181053,4.363191,0.78
"592","CAMK2N1","hurdle",1.23622054537353e-26,6.230117,8.750649,2.520532,0.78
"22","ABCC9","hurdle",6.1580842597102e-28,4.376966,7.474852,3.097886,0.78
"3396","SCG5","hurdle",2.10994802084629e-21,10.85148,12.2859,1.43442,0.778
"2757","PCLO","hurdle",3.58594456345768e-22,6.474644,8.59898,2.124336,0.777
"2204","MALAT1","hurdle",3.84218972790929e-13,15.27361,16.15938,0.885769999999999,0.772
"1598","GNAS","hurdle",1.40728996993181e-19,11.24014,13.02735,1.78721,0.772
"3975","TMEM176B","hurdle",4.23147668497478e-19,8.727368,9.957194,1.229826,0.769
"1947","KCNMB2","hurdle",6.86706988578455e-26,4.95359,7.950093,2.996503,0.768
"2767","PCSK2","hurdle",9.55201500371549e-18,9.214655,10.282066,1.067411,0.767
"1796","IDS","hurdle",8.48814355937524e-18,8.225514,9.644697,1.419183,0.767
"3395","SCG3","hurdle",4.07844931630642e-18,8.930767,10.273877,1.34311,0.763
"3030","PRKACB","hurdle",2.31810801042196e-23,5.838222,8.320917,2.482695,0.763
"3604","SLITRK6","hurdle",2.80898125921033e-35,3.127521,7.630131,4.50261,0.762
"2349","MIR7-3HG","hurdle",3.78969293819276e-19,6.974055,8.59301,1.618955,0.762
"3932","THSD7A","hurdle",1.08174640114822e-36,2.893226,7.805606,4.91238,0.76
"3433","SEMA3E","hurdle",6.03453747851136e-27,4.312067,7.266848,2.954781,0.76
"1793","ID4","hurdle",3.08524598760646e-24,5.154944,8.010531,2.855587,0.76
"1427","FEV","hurdle",1.07026915186163e-24,4.957908,7.481844,2.523936,0.76
"1847","INPP5F","hurdle",6.47386292312602e-26,4.702473,8.057465,3.354992,0.758
"836","CMTM8","hurdle",3.00828912039492e-19,6.294257,8.203945,1.909688,0.758
"3138","RAB3B","hurdle",2.22783695572856e-18,7.532091,9.097529,1.565438,0.756
"1440","FGFR1","hurdle",1.04160644295065e-19,6.596378,8.745436,2.149058,0.755
"227","AQP3","hurdle",7.51974623101133e-20,7.199771,10.054653,2.854882,0.754
"3099","PTPRN2","hurdle",5.25904169212612e-16,7.28152,8.965912,1.684392,0.753
"2216","MAP2","hurdle",2.05715741520546e-19,6.079358,8.237116,2.157758,0.751
"21","ABCC8","hurdle",2.02575956807642e-16,8.352432,10.202687,1.850255,0.749
"2917","PLK2","hurdle",2.52581833696569e-17,6.984927,8.970879,1.985952,0.748
"408","BEX1","hurdle",5.67051912076135e-17,8.82905,9.834532,1.005482,0.748
"3639","SNAP25","hurdle",1.1004219321462e-17,7.069275,8.562364,1.493089,0.747
"3171","RAP1GAP2","hurdle",5.89891149354354e-20,6.002784,8.294222,2.291438,0.747
"485","C16orf45","hurdle",1.74032027654896e-17,6.426834,8.196786,1.769952,0.747
"2823","PGR","hurdle",1.98094455086095e-23,4.606368,7.511286,2.904918,0.746
"2558","NKX2-2","hurdle",1.12613795856881e-20,4.658575,6.935715,2.27714,0.746
"1834","INA","hurdle",1.99226499703104e-18,6.013292,8.072597,2.059305,0.746
"14","ABCB1","hurdle",3.40519812145746e-21,4.716733,7.103555,2.386822,0.745
"3353","RTN1","hurdle",1.09541532636255e-18,5.587141,7.860966,2.273825,0.743
"2111","LIMCH1","hurdle",7.37085956659192e-15,6.557322,8.356463,1.799141,0.742
"1319","FAM159B","hurdle",1.08610335185747e-17,6.651873,8.863891,2.212018,0.742
"962","CXXC4","hurdle",5.28648228021343e-20,4.536886,7.178748,2.641862,0.742
