"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.stellate","log2fold_change","Auc"
"3655","SPARC","hurdle",3.25798001207177e-133,3.166756,12.847856,9.6811,1
"815","COL6A3","hurdle",1.64057981904328e-127,1.663901,11.1946,9.530699,1
"814","COL6A2","hurdle",1.22597828303343e-129,3.223972,11.591719,8.367747,1
"806","COL3A1","hurdle",7.16065794390668e-133,3.401468,13.011527,9.610059,1
"803","COL1A2","hurdle",9.37507924130769e-141,3.373748,13.495109,10.121361,1
"802","COL1A1","hurdle",4.42802536554322e-143,4.478314,14.17852,9.700206,1
"512","CALD1","hurdle",3.94557358424331e-109,6.821283,11.828583,5.0073,0.999
"813","COL6A1","hurdle",7.46602890718015e-115,4.697087,11.084086,6.386999,0.992
"354","BGN","hurdle",5.9472095179773e-116,2.448863,11.973848,9.524985,0.989
"1417","FN1","hurdle",7.96866281931024e-96,6.219355,11.929504,5.710149,0.986
"3421","SERPINH1","hurdle",1.33783736645962e-101,4.921541,10.575095,5.653554,0.984
"2094","LUM","hurdle",6.91789506848226e-120,0.6989901,11.0847568,10.3857667,0.984
"1782","IGFBP5","hurdle",1.8438138537375e-98,5.224424,11.978461,6.754037,0.982
"2017","LGALS1","hurdle",2.50720804212922e-100,6.089745,12.5002,6.410455,0.981
"811","COL5A2","hurdle",2.66343375745095e-111,1.290361,9.331622,8.041261,0.979
"90","AEBP1","hurdle",5.6946006876988e-105,1.9312,9.64643,7.71523,0.978
"3898","TIMP1","hurdle",4.52193945078695e-104,9.882375,14.630363,4.747988,0.977
"2679","PDGFRB","hurdle",1.34616176602468e-107,0.7490383,10.2944229,9.5453846,0.974
"3884","THY1","hurdle",4.97405757455891e-102,1.799723,10.191806,8.392083,0.968
"3673","SPON2","hurdle",1.646562694049e-91,4.647633,10.970847,6.323214,0.967
"4216","VIM","hurdle",8.78088089784927e-74,7.546101,11.360054,3.813953,0.966
"810","COL5A1","hurdle",3.33500904009987e-98,1.882447,9.687,7.804553,0.962
"2907","PRKCDBP","hurdle",1.96294848053584e-86,4.141913,9.418224,5.276311,0.96
"953","DCN","hurdle",3.78311402512808e-105,-0.04020741,10.13811375,10.17832116,0.959
"3436","SFRP2","hurdle",1.94671908602797e-104,1.783486,11.781533,9.998047,0.958
"2246","MMP14","hurdle",4.78601314107165e-83,3.679626,8.927516,5.24789,0.957
"4020","TPM2","hurdle",2.70843281721559e-99,2.834965,10.081839,7.246874,0.956
"2655","PCOLCE","hurdle",3.81040338335199e-96,2.72543,9.906247,7.180817,0.955
"1397","FKBP10","hurdle",1.17835261770908e-94,2.69175,9.478189,6.786439,0.955
"3007","PXDN","hurdle",1.50014184217242e-91,2.485945,9.333309,6.847364,0.954
"2213","MFGE8","hurdle",4.18978182286316e-92,2.963691,9.612053,6.648362,0.954
"1337","FAP","hurdle",9.10928153480635e-70,5.737531,9.702178,3.964647,0.952
"3900","TIMP3","hurdle",1.31560249379188e-91,2.169294,11.293563,9.124269,0.95
"2278","MRC2","hurdle",5.45269535534207e-98,0.1115739,8.9379893,8.8264154,0.949
"1784","IGFBP7","hurdle",3.20922832627584e-59,9.189298,12.399124,3.209826,0.949
"3867","TGFBI","hurdle",1.69017529156118e-82,4.417917,10.804765,6.386848,0.947
"4208","VCAN","hurdle",1.62858580967658e-101,-0.2342531,9.8255215,10.0597746,0.944
"801","COL18A1","hurdle",2.01523369861281e-68,5.654713,10.222034,4.567321,0.943
