Symbol,terms
FCN3,General capillary endo
SLC6A4,General capillary endo
BTNL9,General capillary endo
IL7R,General capillary endo
APLNR,General capillary endo
EDN1,General capillary endo
GPIHBP1,General capillary endo
S100A4,Capillary endo
HPGD,Capillary endo
RGCC,Capillary endo
EDNRB,Aerocyte
HPGD,Aerocyte
CA4,Aerocyte
SOSTDC1,Aerocyte
IL1RL1,Aerocyte
S100A4,Aerocyte
HPGD,Prol capillary endo
MKI67,Prol capillary endo
TOP2A,Prol capillary endo
TPX2,Prol capillary endo
BGN,Aorta coronary arterial endo
ELN,Aorta coronary arterial endo
SULF1,Aorta coronary arterial endo
GPIHBP1,Int arterial endo
DKK2,Int arterial endo
GJA5,Int arterial endo
SERPINE2,Int arterial endo
DKK2,Arterial endo
GJA5,Arterial endo
SERPINE2,Arterial endo
HEY1,Arterial endo
EFNB2,Arterial endo
NOTCH4,Arterial endo
CXCL12,Arterial endo
BMX,Arterial endo
ACKR1,Pulmonary venous endo
PRSS23,Pulmonary venous endo
CLU,Pulmonary venous endo
HDAC9,Pulmonary venous endo
CCL23,Pulmonary venous endo
C7,Pulmonary venous endo
ACKR1,Systemic venous endo
COL15A1,Systemic venous endo
ZNF385D,Systemic venous endo
PLVAP,Systemic venous endo
ABCB1,Systemic venous endo
VWA1,Systemic venous endo
PROX1,Lymphatic endo
MMRN1,Lymphatic endo
LYVE1,Lymphatic endo
CCL21,Lymphatic endo
PDPN,Lymphatic endo
PTX3,Lymphatic endo
MAF,Lymphatic endo
FLT4,Lymphatic endo
MRC1,Lymphatic endo
SCG3,SCG3+ lymphatic end
ABCA4,SCG3+ lymphatic end
SBSPON,SCG3+ lymphatic end
CCDC3,SCG3+ lymphatic end
TCTN3,SCG3+ lymphatic end
GJD3,SCG3+ lymphatic end
NEO1,SCG3+ lymphatic end
SCG3,Prol lymphatic endo
ABCA4,Prol lymphatic endo
SBSPON,Prol lymphatic endo
CCDC3,Prol lymphatic endo
TCTN3,Prol lymphatic endo
GJD3,Prol lymphatic endo
NEO1,Prol lymphatic endo
MKI67,Prol lymphatic endo
TPX2,Prol lymphatic endo
BIRC5,Prol lymphatic endo
CCNB1,Prol lymphatic endo
CDK1,Prol lymphatic endo
TOP2A,Prol lymphatic endo
CLDN5+,Proliferating Endo
PECAM,Proliferating Endo
MKI67,Proliferating Endo
TPX2,Proliferating Endo
BIRC5,Proliferating Endo
CCNB1,Proliferating Endo
CDK1,Proliferating Endo
TOP2A,Proliferating Endo
ZNF385D,EndoMT
ANGPT1,EndoMT
DCN,EndoMT
COL1A2,EndoMT
ID2,SOX9+ tip
CLDN6,SOX9+ tip
